Column,Category
Timestamp,EXCLUDED
Full Name,BRAIN
Nickname / Preferred Name,BRAIN
Gender Identity,BRAIN
Sexual Orientation,BRAIN
Birth Date (DD/MM/YY),BRAIN
Zodiac Sign,BRAIN
Birthplace,BRAIN
Nationality,BRAIN
Current Region / City,BRAIN
Ethnicity / Heritage,BRAIN
"Cultural Background — Describe your upbringing and cultural influences (e.g., Malaysian family valuing respect; grew up watching Japanese anime).",BRAIN
Primary Language,BRAIN
Secondary Language (and fluency level),BRAIN
"Occupation (e.g., student, freelancer, creator)",BRAIN
"List hobbies or activities that make you happy (e.g., writing, travel, reading, coffee brewing).",BRAIN
Weekend habits,BRAIN
Movie or show in the past 3 months or life-time favorite — and why?,BRAIN
Preferred music types,BRAIN
Events you like to attend,BRAIN
Social platforms you use often,BRAIN
Favorite YouTuber / Podcaster / Writer (and why),BRAIN
"If you had a totally free day, how would you spend it?",BRAIN
Do you exercise regularly?,BRAIN
Exercise type,BRAIN
Favorite snack types,BRAIN
"Do you collect anything? (e.g., perfume bottles, Polaroids, figurines)",BRAIN
Favorite travel style,BRAIN
"Dream travel destination (e.g., Paris, Kyoto, Iceland)",BRAIN
How often do you try new hobbies?,BRAIN
Where you spend on hobbies,BRAIN
Preferred socializing style,BRAIN
Favorite food(s),BRAIN
"Preferred cuisine (e.g., Chinese, Japanese, Thai, Western)",BRAIN
Something new you learned or tried recently,BRAIN
What kind of things make you eager to share with friends?,BRAIN
Brands or stores you follow,BRAIN
Main entertainment devices,BRAIN
"Pets (type & name, e.g., Dog – Schnauzer; Cat – British Shorthair)",BRAIN
1) Formality of writing style,PROMPT
2) Emotional expressiveness in text,BRAIN
3) Humor usage frequency,BRAIN
4) Sarcasm level,BRAIN
5) Playfulness vs seriousness,BRAIN
6) Emoji & emoticon use,PROMPT
"7) Slang/abbreviations (lol, idk, brb)",BRAIN
8) Typical reply length,BRAIN
"9) Punctuation & stylization (caps, ellipses, letter lengthening)",BRAIN
10) Conversation role (leading vs. following),PROMPT
11) Empathy/validation in replies,BRAIN
12) Advice-giving vs. listening,BRAIN
13) Disagreement style,PROMPT
14) Patience with slow replies/plan changes,BRAIN
15) Reaction to good news (excitement level),BRAIN
16) Comforting someone upset (validation vs. solutions first),BRAIN
17) Acknowledging late replies,BRAIN
18) Greeting warmth/energy,PROMPT
19) Closing/sign-off style,PROMPT
20) Boundary strictness on topics,BRAIN
Consent to use these responses to replicate your communication style in a GPT-based AI?,BRAIN
"S1) A fan says: ""Hey! How's your day been?"" — Write your reply as you normally would:",BRAIN
"S2) A friend is upset: ""Today was rough... I'm overwhelmed."" — What's your first reply?",BRAIN
